Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,0u1F,
"C10, C12, C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,0.1uF,
"C11, C5, C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,3,10uF,
C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,1uF,
C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,1nF,
"C4, C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,47pF,
C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,1uF-10uF?,
"D1, D3, D5, D6, D7",LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,5,Green,
D2,D_SOD-123,1,5v,
D4,BZX84C3V6,1,3v6,
FB1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,600R,
J1,PinHeader_1x08_P2.54mm_Vertical,1,Digital Pins,
J2,PinHeader_1x08_P2.54mm_Vertical,1,Analog Pins,
J3,USB_B,1,USB_B,
J4,Screwterminal_3mm81_4pos,1,Power,
J5,TagConnect_Avr,1,AVR-PDI-6,
L1,0805_PInductor,1,2.2uH,
"Q1, Q2",SOT-223-3_TabPin2,2,BCP54TA,
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,10k,
R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,5k,
"R11, R12, R13, R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,3k3,
R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,33R,
R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,620k,
R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,27k,
"R6, R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,27R,
R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,180k,
R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,20k,
U1,SO-8_3.9x4.9mm_P1.27mm,1,MC33172,
U2,TQFP-32_7x7mm_P0.8mm,1,ATxmega8E5-A,
U3,SOT-23-5_HandSoldering,1,LM3671MF-3.3/NOPB,
U4,SSOP-20_3.9x8.7mm_P0.635mm,1,FT231XS,
